机构号,网点名称,营业状态,行政区,网点类型,营业部,管理行,权属,营业面积,到期时间,装修时间,人数,行评等级,X,Y
B0268S262010111,兰州格林小镇社区支行,营业中,城关区,社区支行,否,开发区管理行,自有,,,,2,,103.8864183,36.06709063
B0268S262010114,兰州兰宁小区社区支行,营业中,城关区,社区支行,否,开发区管理行,租赁,,,,2,,103.8651752,36.0539639
B0268S262010115,兰州范家湾社区支行,营业中,城关区,社区支行,否,开发区管理行,租赁,,,,2,,103.907876,36.04384661
B0268S262010078,华龙支行,营业中,红古区,综合型,否,红古管理行,购置+租赁,528.5,2019/3/1,2008/8/1,26,二类,102.8601944,36.34500504
B0268S262010004,窑街支行,营业中,红古区,综合型,否,红古管理行,购置,601.69,,2012/8/1,23,一类,102.8714275,36.43338382
B0268S262010108,兰州红古铁家台社区支行,营业中,永登县,社区支行,否,红古管理行,租赁,,,,2,,102.8157181,36.60467863
B0268S262010109,兰州红古南区市场社区支行,营业中,红古区,社区支行,否,红古管理行,租赁,,,,3,,102.8658593,36.34057403
B0268S262010110,兰州红古区委家属院社区支行,营业中,红古区,社区支行,否,红古管理行,租赁,,,,3,,102.8563535,36.34596527
B0268S262010117,兰州红古跃进街小微支行,营业中,红古区,小微支行,否,红古管理行,租赁,,,,2,,102.8663152,36.41340137
B0268S262010118,兰州红古张家寺小微支行,营业中,红古区,小微支行,否,红古管理行,租赁,,,,3,,103.2759547,36.16702795
B0268S262010031,民族支行,营业中,城关区,综合型,否,城关管理行,购置,517,,2009/7/1,19,二类,103.8265443,36.05691554
B0268S262010033,庆阳路支行,营业中,城关区,综合型,否,城关管理行,购置,379.24,,2017/1/1,22,一类,103.8276619,36.05497777
B0268S262010021,恒通支行,营业中,城关区,综合型,否,城关管理行,租赁,300,2020/6/1,2012/10/1,24,二类,103.822587,36.062328
B0268S262010053,广厦支行,营业中,城关区,综合型,否,城关管理行,租赁,364,2018/12/1,2016/8/1,8,二类,103.8219953,36.05986595
B0268S262010038,五泉支行,营业中,城关区,综合型,否,城关管理行,购置+租赁,678.9,2019/5/1,2012/4/1,26,一类,103.82386,36.045805
B0268S262010034,祥和支行,营业中,城关区,综合型,否,城关管理行,租赁,1150,2019/3/1,2017/1/1,26,二类,103.8328135,36.04455352
B0268S262010041,金城支行,营业中,城关区,综合型,否,城关管理行,购置,709.37,,2014/9/1,33,一类,103.8292956,36.05319801
B0268S262010030,兰园支行,营业中,城关区,综合型,否,城关管理行,购置,570,,2012/10/1,31,二类,103.8271201,36.05927527
B0268S262010024,汇通支行,营业中,城关区,综合型,否,城关管理行,购置,913.01,,2010/7/1,21,四类,103.822976,36.052308
